tm_id;ss_id;nombre_jugador;season;accurateCrosses_p90;accurateFinalThirdPasses_p90;accurateLongBalls_p90;accuratePassesPercentage;aerialDuelsWon_p90;assists_p90;blockedShots_p90;clearances_p90;contexto_equipo_top;dribbledPast_p90;edad;fouls_p90;goalConversionPercentage;goals_p90;keyPasses_p90;minutesPlayed;nac_Argentina;nac_Colombia;nac_Perú;nac_Uruguay;offsides_p90;penaltyConversionPercentage;pos_Delantero;pos_Mediocampista;proviene_club_grande;proviene_liga_extranjera;shotsOffTarget_p90;shotsOnTarget_p90;successfulDribbles_p90;wasFouled_p90;yellowCards_p90
665116;978545;Axel Moyano;2022_2023;0.0729631130928253;6.74908796108634;3.392784758816376;84.2843779232928;0.6566680178354276;0.03648155654641265;0.03648155654641265;0.36481556546412647;0;1.130928252938792;21;2.261856505877584;25.0;0.03648155654641265;0.5837049047426024;2467.0;0;0;1;0;0.0;0.0;0;1;1;1;0.0;0.10944466963923793;0.21888933927847587;1.2038913660316173;0.4742602351033644
670060;1090706;Victor Perlaza;2022_2023;0.14018691588785046;6.728971962616822;0.2803738317757009;78.17460317460318;0.911214953271028;0.0;0.9813084112149533;0.4205607476635514;0;0.2102803738317757;27;1.8925233644859811;16.363636363636363;0.6308411214953271;1.0514018691588785;1284.0;0;1;0;0;0.5607476635514018;66.66666666666666;1;0;0;0;1.3317757009345794;1.542056074766355;0.5607476635514018;3.014018691588785;0.07009345794392523
671879;1049088;Erick Gonzales;2022_2023;0.08144796380090497;6.271493212669683;2.199095022624434;77.17842323651453;1.7104072398190044;0.0;0.24434389140271492;2.443438914027149;0;1.1402714932126696;26;1.7104072398190044;0.0;0.0;0.4072398190045249;1105.0;0;0;1;0;0.08144796380090497;0.0;0;1;0;1;1.0588235294117647;0.24434389140271492;0.4072398190045249;1.5475113122171944;0.6515837104072397
672263;960225;Hugo Ancajima;2022_2023;0.7410179640718563;3.9745508982035926;1.4146706586826348;75.14124293785311;0.40419161676646703;0.20209580838323352;0.20209580838323352;3.0988023952095807;1;0.7410179640718563;24;0.875748502994012;0.0;0.0;0.875748502994012;1336.0;0;0;1;0;0.06736526946107785;0.0;0;0;0;1;0.1347305389221557;0.1347305389221557;0.875748502994012;0.875748502994012;0.20209580838323352
696726;1018388;Emanuel Ibáñez;2022_2023;0.23622047244094488;4.9015748031496065;2.3031496062992125;79.49579831932773;0.47244094488188976;0.0;0.17716535433070865;0.6496062992125984;0;1.1220472440944882;28;2.421259842519685;0.0;0.0;0.5314960629921259;1524.0;1;0;0;0;0.05905511811023622;0.0;0;1;0;1;0.9448818897637795;0.17716535433070865;0.2952755905511811;0.7677165354330708;0.3543307086614173
72680;13532;Luis Ramírez;2022_2023;0.21906693711967545;11.099391480730223;1.8255578093306288;79.8048780487805;1.4239350912778905;0.036511156186612576;0.1460446247464503;0.7302231237322515;0;0.8762677484787018;37;2.40973630831643;8.333333333333332;0.07302231237322515;1.1683569979716024;2465.0;0;0;1;0;0.2920892494929006;0.0;0;1;0;1;0.4016227180527383;0.32860040567951315;0.8032454361054766;3.3955375253549693;0.32860040567951315
72971;26172;Jair Céspedes;2022_2023;0.6723944714232349;7.127381397086291;1.3111692192753082;83.59293873312565;0.8068733657078819;0.0672394471423235;0.134478894284647;0.8068733657078819;0;0.36981695928277925;38;0.6387747478520732;14.285714285714285;0.03361972357116175;1.0085917071348525;2677.0;0;0;1;0;0.0;0.0;0;0;1;1;0.03361972357116175;0.0672394471423235;1.210310048561823;1.075831154277176;0.10085917071348524
73705;249599;Donald Millán;2022_2023;1.4781792585640545;12.923510089160018;3.2097606757390897;77.71428571428571;0.8024401689347724;0.25340215861098075;0.5068043172219615;0.8869075551384327;0;0.8446738620366026;36;1.1825434068512435;15.384615384615385;0.25340215861098075;2.2806194274988267;2131.0;0;1;0;0;0.16893477240732052;85.71428571428571;0;1;0;1;0.4645706241201314;0.6757390896292821;1.267010793054904;1.7738151102768653;0.29563585171281087
740619;1050816;Aryan Romaní;2022_2023;0.8411214953271028;6.608811748998664;0.6008010680907877;79.3103448275862;0.3604806408544726;0.3604806408544726;0.9612817089452603;0.3604806408544726;0;0.3604806408544726;20;1.4419225634178905;4.3478260869565215;0.12016021361815754;1.6822429906542056;749.0;0;0;1;0;0.0;0.0;1;0;1;1;0.9612817089452603;0.8411214953271028;1.9225634178905207;2.1628838451268355;0.0
741727;1018255;Orlando Núñez;2022_2023;0.30638297872340425;6.357446808510638;1.8382978723404255;78.6046511627907;0.5361702127659574;0.07659574468085106;0.3829787234042553;0.7659574468085106;0;0.6893617021276596;22;1.9148936170212767;0.0;0.0;0.6893617021276596;1175.0;0;0;1;0;0.4595744680851064;0.0;0;0;0;1;0.07659574468085106;0.0;1.225531914893617;3.6;0.2297872340425532
741728;1017760;Jhamir D'Arrigo;2022_2023;0.49405306495882895;7.410795974382434;0.8234217749313816;71.45214521452145;0.3705397987191217;0.12351326623970724;0.2058554437328454;0.2058554437328454;1;0.6999085086916743;22;1.070448307410796;18.51851851851852;0.2058554437328454;1.029277218664227;2186.0;0;0;1;0;0.16468435498627632;100.0;1;0;0;1;0.535224153705398;0.3705397987191217;2.182067703568161;2.305580969807868;0.12351326623970724
74351;76814;Michel Acosta;2022_2023;0.04037685060565276;3.351278600269179;1.9380888290713325;73.25714285714285;1.6150740242261103;0.12113055181695828;0.44414535666218036;1.5746971736204576;0;0.8075370121130552;34;1.2516823687752356;4.545454545454546;0.08075370121130553;0.5248990578734859;2229.0;0;0;0;1;0.0;0.0;0;1;0;1;1.009421265141319;0.3230148048452221;0.24226110363391656;0.8882907133243607;0.5248990578734859
77125;312264;Horacio Calcaterra;2022_2023;0.266173752310536;13.87430683918669;2.8613678373382623;83.63754889178618;0.565619223659889;0.23290203327171902;0.39926062846580407;0.49907578558225507;1;1.3308687615526802;33;1.6303142329020333;2.941176470588235;0.033271719038817;1.2643253234750462;2705.0;0;0;1;0;0.066543438077634;0.0;0;1;1;1;0.46580406654343803;0.266173752310536;0.39926062846580407;2.0961182994454712;0.36598890942698703
