minutesPlayed;tm_id;ss_id;season_origen;season_futuro_id;tipo_dato;accuratePassesPercentage;goalConversionPercentage;penaltyConversionPercentage;goals_p90;assists_p90;shotsOnTarget_p90;shotsOffTarget_p90;blockedShots_p90;keyPasses_p90;successfulDribbles_p90;offsides_p90;clearances_p90;dribbledPast_p90;fouls_p90;wasFouled_p90;aerialDuelsWon_p90;accurateFinalThirdPasses_p90;accurateLongBalls_p90;accurateCrosses_p90;yellowCards_p90
692;235508;982178;2020_2021;35813;futuro_real;74.11347517730496;12.5;0.0;0.26011560693641617;0.13005780346820808;0.6502890173410405;0.9104046242774566;0.5202312138728323;0.9104046242774566;0.7803468208092486;0.0;0.26011560693641617;1.560693641618497;3.121387283236994;1.9508670520231213;0.26011560693641617;8.0635838150289;2.991329479768786;1.1705202312138727;0.6502890173410405
1328;250004;312270;2020_2021;35813;futuro_real;72.00772200772201;33.33333333333333;0.0;0.1355421686746988;0.0677710843373494;0.20331325301204817;0.0677710843373494;0.1355421686746988;0.5421686746987951;0.9487951807228915;0.1355421686746988;1.897590361445783;1.0843373493975903;1.8298192771084336;1.1521084337349397;0.338855421686747;6.912650602409638;2.3042168674698793;0.47439759036144574;0.6099397590361445
1469;250482;805353;2020_2021;35813;futuro_real;71.83544303797468;24.444444444444443;0.0;0.673927842069435;0.18379850238257317;1.4091218515997277;0.8577263444520081;0.4901293396868618;1.1027910142954391;0.9802586793737236;1.8379850238257318;0.18379850238257317;0.42886317222600406;2.5731790333560243;2.0830496936691625;0.7964601769911505;5.4526889040163375;0.7964601769911505;0.12253233492171545;0.18379850238257317
1134;250915;358194;2020_2021;35813;futuro_real;81.94444444444444;0.0;0.0;0.0;0.07936507936507936;0.15873015873015872;0.4761904761904762;0.0;0.39682539682539686;0.15873015873015872;0.07936507936507936;3.7301587301587302;0.15873015873015872;1.2698412698412698;0.5555555555555556;1.9841269841269842;3.492063492063492;5.158730158730159;0.2380952380952381;0.2380952380952381
1207;267638;790008;2020_2021;35813;futuro_real;67.25352112676056;15.384615384615385;100.0;0.5965202982601491;0.07456503728251863;1.1930405965202981;1.7895608947804473;0.8947804473902237;0.7456503728251864;1.1930405965202981;0.6710853355426678;1.1930405965202981;0.6710853355426678;1.5658657829328915;1.4913007456503728;2.684341342170671;8.351284175642087;0.5219552609776305;0.22369511184755592;0.29826014913007454
1353;271676;590468;2020_2021;35813;futuro_real;80.53097345132744;0.0;0.0;0.0;0.06651884700665188;0.3325942350332594;0.3325942350332594;0.0;0.532150776053215;0.7317073170731707;0.19955654101995565;1.4634146341463414;0.7317073170731707;2.5277161862527717;1.4634146341463414;1.729490022172949;8.51441241685144;2.328159645232816;0.5986696230598669;0.5986696230598669
935;275266;339171;2020_2021;35813;futuro_real;67.77251184834124;18.181818181818183;0.0;0.3850267379679144;0.0962566844919786;0.7700534759358288;0.8663101604278075;0.48128342245989303;1.4438502673796791;1.1550802139037433;1.1550802139037433;0.7700534759358288;0.8663101604278075;2.213903743315508;2.213903743315508;2.406417112299465;6.834224598930481;0.48128342245989303;0.1925133689839572;0.1925133689839572
1580;279380;883343;2020_2021;35813;futuro_real;70.61068702290076;25.0;0.0;0.056962025316455694;0.0;0.056962025316455694;0.17088607594936708;0.0;0.39873417721518983;0.056962025316455694;0.0;3.6455696202531644;0.5696202531645569;1.9936708860759491;0.6835443037974683;1.9367088607594936;3.816455696202531;2.620253164556962;0.17088607594936708;0.39873417721518983
213;279387;339475;2020_2021;35813;futuro_real;72.0;50.0;100.0;0.4225352112676056;0.0;0.4225352112676056;0.0;0.4225352112676056;0.4225352112676056;0.4225352112676056;0.0;0.4225352112676056;0.8450704225352113;1.6901408450704225;2.535211267605634;0.0;8.028169014084506;0.4225352112676056;0.8450704225352113;0.0
911;292729;384658;2020_2021;35813;futuro_real;78.515625;0.0;0.0;0.0;0.09879253567508234;0.39517014270032935;0.39517014270032935;0.39517014270032935;1.185510428100988;0.7903402854006587;0.19758507135016468;1.3830954994511526;0.296377607025247;1.185510428100988;2.074643249176729;1.2843029637760703;4.742041712403952;0.6915477497255763;1.6794731064763997;0.296377607025247
