nombre_jugador;tm_id;club_origen;club_destino;ss_id;ss_season_id;ss_tournament_id;;
Carlos Beltrán;214719;Rosario FC;Club Alianza Lima;220929;16007;406;;
Rodrigo Cuba;224670;Deportivo Municipal;Club Alianza Lima;339177;16007;406;;
Aldair Salazar;279380;Deportivo Municipal;Club Alianza Lima;883343;16007;406;;
Anthony Rosell;356381;Ayacucho FC;Club Alianza Lima;873703;16007;406;;
Joazhiño Arroé;119365;Sport Boys Association;Club Alianza Lima;882851;16007;406;;
José Manzaneda;279387;Deportes La Serena;Club Alianza Lima;339475;16007;406;;
Iván Bulos;194841;CD O'Higgins;Deportivo Municipal;258793;13539;238;;
Egidio Arévalo Ríos;54818;Club Libertad Asunción;Deportivo Municipal;47379;15806;384;;
Egidio Arévalo Ríos;54818;Club Libertad Asunción;Deportivo Municipal;47379;13950;155;;
Arón Torres;582320;Sport Boys Association;Deportivo Municipal;924878;16007;406;;
Jeremías Bogado;353038;Comerciantes Unidos;Deportivo Municipal;805143;16007;406;;
Carlos Uribe;249977;Rosario FC;Deportivo Municipal;883294;16007;406;;
Gerson Barreto;335217;Universitario de Deportes;Academia Deportiva Cantolao;883397;16007;406;;
Johnnier Montaño;84326;Sport Boys Association;Academia Deportiva Cantolao;107328;16007;406;;
Ederson Mogollón;224685;Comerciantes Unidos;Academia Deportiva Cantolao;883391;16007;406;;
Farihd Jasaui;249923;Rosario FC;Academia Deportiva Cantolao;883291;16007;406;;
Junior Ponce;214654;Universidad Técnica de Cajamarca;Academia Deportiva Cantolao;574464;16007;406;;
Daniel Chávez;37999;Universitario de Deportes;Academia Deportiva Cantolao;18848;16007;406;;
Willy Pretel;347416;Universidad Técnica de Cajamarca;Academia Deportiva Cantolao;883732;16007;406;;
Erinson Ramírez;422934;Club Alianza Lima;Universidad César Vallejo;876931;16007;406;;
Renzo Garcés;335677;Club Sporting Cristal;Universidad César Vallejo;874985;16007;406;;
Frank Ysique;440020;Club Sporting Cristal;Universidad César Vallejo;874986;16007;406;;
Alberto Quintero;126019;Lobos BUAP (- 2019);Universitario de Deportes;83951;16007;406;;
Armando Alfageme;135139;Deportivo Municipal;Universitario de Deportes;839571;16007;406;;
Alejandro Hohberg;212434;Club Alianza Lima;Universitario de Deportes;830663;16007;406;;
Gary Correa;82567;Universidad San Martín de Porres;Universitario de Deportes;47397;16007;406;;
Nelinho Quina;82584;Sport Boys Association;Universitario de Deportes;883313;16007;406;;
Pablo Lavandeira;196037;Deportivo Municipal;Universitario de Deportes;340077;16007;406;;
Germán Denis;30873;Sin equipo;Universitario de Deportes;37269;13950;155;;
Christofer Gonzales;250055;CSD Colo-Colo;FBC Melgar;345779;16007;406;;
Joel Sánchez;102784;Tigres UANL;FBC Melgar;107293;19778;11620;;
Carlos Neyra;368844;Sport Boys Association;FBC Melgar;924924;16007;406;;
Alexi Gómez;235508;Universitario de Deportes;FBC Melgar;982178;15813;242;;
David Villalba;135174;Club General Díaz de Luque;FBC Melgar;1021320;15809;480;;
Jhonny Vidales;224677;Real Garcilaso;FBC Melgar;588144;16007;406;;
Ángel Romero;170616;Universitario de Deportes;FBC Melgar;176289;16007;406;;
David Villalba;569085;Club General Díaz de Luque;FBC Melgar;1021320;15809;480;;
Jhon Mondragón;298602;Leones FC;Sport Boys Association;846048;19511;11536;;
Jean Tragodara;94480;Real Garcilaso;Sport Boys Association;130393;16007;406;;
Marcos Ortiz;227771;Ayacucho FC;Sport Boys Association;312276;16007;406;;
Jesús Chávez;72677;Universidad San Martín de Porres;Sport Boys Association;33993;16007;406;;
Patricio Arce;334104;FBC Melgar;Club Sporting Cristal;805267;16007;406;;
Cristian Palacios;127271;Club Puebla;Club Sporting Cristal;129209;17518;11621;;
Luis Álvarez;95852;Real Garcilaso;Carlos A. Mannucci;123238;16007;406;;
Junior Aguirre;216291;Rosario FC;Pirata FC;925308;16007;406;;
Alvaro Bravo;582317;Comerciantes Unidos;Pirata FC;931692;16007;406;;
Ángel Pérez;260094;Real Garcilaso;Deportivo Binacional;873704;16007;406;;
Carlos Preciado;73780;Al-Shamal SC;CD Unión Comercio;38171;16007;406;;
João Ortiz;180911;Curicó Unido;Real Garcilaso;789965;15995;11653;;
Luis Maldonado;217028;CD Cobreloa;Sport Huancayo;831744;15806;384;;
Sergio Almirón;144111;Ontinyent CF;Universidad Técnica de Cajamarca;180071;12882;11539;;
Kevin Ruiz;325591;FBC Melgar;Universidad Técnica de Cajamarca;875662;16007;406;;
Santiago Silva;125511;CA Progreso;Universidad César Vallejo;221736;15995;11653;;
Alberto Rodríguez;30543;Junior de Barranquilla;Universitario de Deportes;13527;16044;11539;;
Carlo Diez;351561;Sport Boys Association;FBC Melgar;831183;16007;406;;
Carlos Olascuaga;94450;Rosario FC;Sport Boys Association;994148;16007;406;;
