tm_id;ss_id;ss_season_id;nombre_jugador;edad;nacionalidad_str;posicion;club_origen;minutesPlayed;appearances;started;goals;totalShots;shotsOnTarget;shotsOffTarget;blockedShots;assists;keyPasses;bigChancesCreated;bigChancesMissed;successfulDribbles;penaltiesWon;penaltiesTaken;penaltyGoals;offsides;tackles;interceptions;clearances;dribbledPast;penaltiesCommitted;fouls;wasFouled;aerialDuelsWon;groundDuelsWon;totalPasses;accuratePasses;accurateFinalThirdPasses;accurateLongBalls;accurateCrosses;possessionLost;dispossessed;yellowCards;redCards;season
149771;339841;40118;Ángel Ojeda;29;Perú;Pivote;Dep. Binacional;1641.0;28.0;19.0;3.0;20.0;8.0;9.0;3.0;2.0;22.0;2.0;0.0;6.0;0.0;0.0;0.0;0.0;40.0;18.0;28.0;8.0;0.0;57.0;10.0;5.0;56.0;629.0;488.0;150.0;32.0;10.0;214.0;11.0;2.0;0.0;2022_2023
389552;988868;42815;José Leguizamón;30;Paraguay;Defensa central;Sol de América;1350.0;15.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;2022_2023
301721;978353;40503;Gonzalo González;28;Uruguay;Pivote;Delfín SC;3347.0;43.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;2022_2023
195858;826377;40118;Yhirbis Córdova;31;Perú;Lateral derecho;Juan Aurich;2248.0;26.0;26.0;0.0;14.0;2.0;8.0;4.0;1.0;16.0;1.0;0.0;10.0;0.0;0.0;0.0;1.0;37.0;35.0;72.0;14.0;0.0;25.0;29.0;24.0;75.0;875.0;633.0;212.0;102.0;11.0;411.0;30.0;6.0;0.0;2022_2023
103817;311524;40118;Iván Santillán;31;Perú;Lateral izquierdo;Universitario;1152.0;19.0;12.0;0.0;14.0;3.0;5.0;6.0;1.0;17.0;3.0;0.0;9.0;0.0;0.0;0.0;0.0;31.0;16.0;13.0;7.0;2.0;13.0;9.0;7.0;49.0;419.0;327.0;86.0;30.0;22.0;187.0;9.0;1.0;0.0;2022_2023
126019;83951;40118;Alberto Quintero;34;Panamá;Extremo derecho;Universitario;2184.0;32.0;25.0;4.0;33.0;12.0;13.0;8.0;3.0;37.0;5.0;2.0;30.0;3.0;0.0;0.0;6.0;29.0;9.0;7.0;5.0;0.0;20.0;63.0;12.0;121.0;945.0;762.0;295.0;40.0;13.0;379.0;44.0;4.0;0.0;2022_2023
168974;842529;40118;Claudio Torrejón;29;Perú;Pivote;Sport Boys;1681.0;22.0;18.0;0.0;7.0;1.0;5.0;1.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;48.0;49.0;51.0;22.0;2.0;31.0;18.0;28.0;69.0;729.0;587.0;90.0;31.0;2.0;174.0;11.0;9.0;1.0;2022_2023
198027;189207;40118;Jean Deza;29;Perú;Extremo izquierdo;AD Tarma;942.0;12.0;12.0;5.0;24.0;11.0;10.0;3.0;0.0;23.0;0.0;1.0;17.0;0.0;3.0;2.0;2.0;9.0;2.0;2.0;3.0;0.0;4.0;28.0;1.0;54.0;245.0;189.0;87.0;19.0;16.0;170.0;15.0;5.0;0.0;2022_2023
515514;898631;42017;Juan Romagnoli;26;Argentina;Extremo derecho;Querétaro FC;316.0;9.0;3.0;1.0;11.0;2.0;5.0;4.0;1.0;7.0;1.0;0.0;2.0;0.0;0.0;0.0;2.0;3.0;1.0;0.0;1.0;0.0;5.0;4.0;4.0;9.0;76.0;54.0;24.0;3.0;10.0;46.0;2.0;0.0;0.0;2022_2023
242436;906002;40503;Carlos Garcés;32;Ecuador;Delantero centro;Barcelona SC;1773.0;38.0;18.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;2022_2023
