tm_id;ss_id;nombre_jugador;season;accurateCrosses_p90;accurateFinalThirdPasses_p90;accurateLongBalls_p90;accuratePassesPercentage;aerialDuelsWon_p90;assists_p90;blockedShots_p90;clearances_p90;contexto_equipo_top;dribbledPast_p90;edad;fouls_p90;goalConversionPercentage;goals_p90;keyPasses_p90;minutesPlayed;nac_Argentina;nac_Colombia;nac_Perú;nac_Uruguay;offsides_p90;penaltyConversionPercentage;pos_Delantero;pos_Mediocampista;proviene_club_grande;proviene_liga_extranjera;shotsOffTarget_p90;shotsOnTarget_p90;successfulDribbles_p90;wasFouled_p90;yellowCards_p90;riesgo_fichaje
90506;33798;Enzo Gutiérrez;2020_2021;0.0;4.670553935860058;0.2099125364431486;72.65193370165746;2.0991253644314867;0.0;0.4198250728862973;0.5772594752186588;1;0.1574344023323615;34;1.3119533527696792;30.952380952380956;0.6822157434402332;0.7871720116618075;1715.0;1;0;0;0;0.629737609329446;87.5;1;0;0;1;0.8396501457725947;0.944606413994169;0.2623906705539358;1.469387755102041;0.1049562682215743;1.0
84349;47413;Luis Trujillo;2020_2021;1.2752043596730245;6.376021798365122;3.2861035422343323;75.85616438356165;0.88283378746594;0.0;0.3923705722070844;1.8637602179836512;0;0.4904632152588555;29;1.128065395095368;9.090909090909092;0.1471389645776566;1.422343324250681;1835.0;0;0;1;0;0.0490463215258855;0.0;0;0;0;1;0.6376021798365122;0.5885558583106267;0.6376021798365122;0.7847411444141689;0.0490463215258855;0.0
82589;133862;Írven Ávila;2020_2021;0.3005008347245408;11.419031719532551;0.5258764607679466;78.08219178082192;2.404006677796327;0.1502504173622704;0.5258764607679466;0.5258764607679466;1;0.3005008347245408;29;1.7278797996661102;13.513513513513514;0.3756260434056761;1.4273789649415691;1198.0;0;0;1;0;2.2537562604340566;0.0;1;0;1;0;1.2771285475792988;0.976627712854758;1.0517529215358932;2.1786310517529213;0.1502504173622704;0.0
76942;108190;Jonathan Lacerda;2020_2021;0.0;1.2650602409638554;2.3493975903614457;73.7410071942446;0.7228915662650602;0.0;0.0903614457831325;3.614457831325301;1;0.180722891566265;33;1.1746987951807228;0.0;0.0;0.0903614457831325;996.0;0;0;0;1;0.0;0.0;0;0;0;1;0.0903614457831325;0.0903614457831325;0.0903614457831325;0.2710843373493976;0.4518072289156626;1.0
76717;249305;Pablo Míguez;2020_2021;0.0981996726677577;4.369885433715221;2.700490998363339;83.89473684210526;2.8968903436988542;0.0490998363338788;0.1963993453355155;2.995090016366612;1;0.5891980360065466;33;1.0801963993453354;0.0;0.0;0.1963993453355155;1833.0;0;0;0;1;0.0;0.0;0;0;1;0;0.392798690671031;0.2945990180032733;0.2945990180032733;1.1783960720130933;0.3436988543371522;0.0
76605;107591;Gonzalo Godoy;2020_2021;0.0407239819004524;1.9547511312217196;2.9728506787330318;84.29073856975381;1.2217194570135743;0.0;0.0814479638009049;2.7285067873303164;0;0.7737556561085972;32;1.343891402714932;0.0;0.0;0.0407239819004524;2210.0;0;0;0;1;0.1221719457013574;0.0;0;0;0;1;0.2036199095022624;0.1221719457013574;0.0407239819004524;0.6515837104072397;0.2443438914027149;0.0
738716;1016972;Álex Valera;2020_2021;0.2855329949238578;6.738578680203045;1.199238578680203;74.94780793319416;3.654822335025381;0.2284263959390862;0.4568527918781725;0.3997461928934009;1;0.2284263959390862;24;1.9987309644670048;13.432835820895525;0.5139593908629441;0.7994923857868019;1576.0;0;0;1;0;1.199238578680203;100.0;1;0;0;1;1.6560913705583755;1.713197969543147;1.027918781725888;1.598984771573604;0.2284263959390862;0.0
738715;1016979;Javier Trauco;2020_2021;0.7950530035335689;13.197879858657243;2.385159010600707;79.6774193548387;0.0;0.3180212014134275;0.1590106007067137;0.1590106007067137;0;1.1130742049469964;29;1.7491166077738516;40.0;0.6360424028268551;2.385159010600707;566.0;0;0;1;0;0.1590106007067137;0.0;1;0;0;1;0.6360424028268551;0.7950530035335689;2.385159010600707;1.7491166077738516;0.4770318021201413;1.0
73705;249599;Donald Millán;2020_2021;0.7449560269011899;15.737196068287636;3.259182617692705;79.96306555863343;0.8846352819451629;0.0465597516813243;0.4190377651319193;0.6983962752198655;0;1.0708742886704603;34;2.002069322296948;10.256410256410255;0.1862390067252974;1.4899120538023798;1933.0;0;1;0;0;0.0931195033626487;100.0;0;1;1;1;0.8380755302638386;0.5587170201758924;0.7915157785825142;2.3279875840662183;0.0931195033626487;0.0
72984;34033;Roberto Ovelar;2020_2021;0.0;8.261474269819193;1.376912378303199;72.09821428571429;2.878998609179416;0.125173852573018;0.7510431154381085;1.2517385257301807;0;0.5006954102920723;34;1.689847009735744;10.0;0.3755215577190542;1.502086230876217;1438.0;0;0;0;0;0.5006954102920723;100.0;1;0;0;1;1.627260083449235;1.376912378303199;1.94019471488178;2.941585535465925;0.3129346314325452;0.0
72672;33989;Renzo Revoredo;2020_2021;0.2364273204903678;6.698774080560421;2.4430823117338005;83.3969465648855;1.6549912434325744;0.0;0.0788091068301226;3.152364273204904;0;0.5516637478108581;34;1.4973730297723291;0.0;0.0;0.394045534150613;1142.0;0;0;1;0;0.0788091068301226;0.0;0;0;1;1;0.6304728546409808;0.0788091068301226;0.3152364273204904;0.6304728546409808;0.2364273204903678;0.0
72659;33985;Adán Balbín;2020_2021;0.0;4.668874172185431;5.264900662251656;73.63896848137536;1.490066225165563;0.0;0.2980132450331126;3.874172185430464;0;0.1986754966887417;33;0.695364238410596;0.0;0.0;0.2980132450331126;906.0;0;0;1;0;0.0993377483443708;0.0;0;0;0;1;0.5960264900662252;0.0993377483443708;0.0993377483443708;0.1986754966887417;0.2980132450331126;0.0
89576;819124;Jonathan Ávila;2020_2021;0.0;2.357473035439137;3.258859784283513;80.76923076923077;2.288135593220339;0.0693374422187981;0.0693374422187981;4.576271186440678;0;0.7627118644067796;28;1.5254237288135593;25.0;0.2080123266563944;0.1386748844375963;1298.0;0;1;0;0;0.1386748844375963;0.0;0;0;0;1;0.3466872110939907;0.4160246533127889;0.0;0.8320493066255777;0.6240369799691834;0.0
441758;879621;José Luján;2020_2021;0.0492880613362541;2.9572836801752467;4.879518072289157;79.57351290684625;2.217962760131435;0.0;0.0492880613362541;4.288061336254107;1;0.3943044906900328;23;1.182913472070099;0.0;0.0;0.0985761226725082;1826.0;0;0;1;0;0.0492880613362541;0.0;0;0;0;1;0.2957283680175246;0.0985761226725082;0.0985761226725082;0.5421686746987953;0.0985761226725082;0.0
187161;560054;Hansell Riojas;2020_2021;0.2057142857142857;5.04;6.12;74.96757457846952;2.16;0.0514285714285714;0.1028571428571428;4.062857142857143;0;0.7714285714285715;28;0.7714285714285715;9.090909090909092;0.0514285714285714;0.36;1750.0;0;0;1;0;0.0;0.0;0;0;0;1;0.2057142857142857;0.2571428571428572;0.2571428571428572;0.6171428571428572;0.2571428571428572;0.0
434192;883768;David Dioses;2020_2021;0.5863192182410424;7.255700325732899;1.5390879478827362;80.99838969404188;0.8061889250814332;0.0732899022801303;0.3664495114006514;0.8061889250814332;0;1.026058631921824;24;1.6123778501628665;0.0;0.0;1.1726384364820848;1228.0;0;0;1;0;0.2931596091205212;0.0;0;1;0;1;0.0732899022801303;0.4397394136807818;0.5130293159609121;0.8061889250814332;0.5130293159609121;1.0
250004;312270;Édinson Chávez;2020_2021;0.1784534038334435;7.911434236615995;2.6768010575016525;77.8125;0.5948446794448117;0.0594844679444811;0.0;1.427627230667548;0;0.9517514871116988;26;1.8440185062789165;0.0;0.0;0.8922670191672175;1513.0;0;0;1;0;0.0;0.0;0;0;0;0;0.4163912756113682;0.0594844679444811;0.8922670191672175;0.9517514871116988;0.1189689358889623;0.0
235508;982178;Alexi Gómez;2020_2021;1.2042818911685995;11.239964317573596;2.408563782337199;75.7469244288225;0.5619982158786797;0.0;0.3211418376449598;0.8831400535236396;0;0.8028545941123997;27;2.8902765388046388;7.142857142857142;0.0802854594112399;1.2042818911685995;1121.0;0;0;1;0;0.3211418376449598;100.0;0;0;1;0;0.6422836752899197;0.1605709188224799;1.3648528099910793;2.167707404103479;0.7225691347011597;0.0
224670;339177;Rodrigo Cuba;2020_2021;0.6876790830945559;5.587392550143266;2.0630372492836675;73.44632768361582;3.180515759312321;0.2578796561604584;0.0859598853868194;2.0630372492836675;0;0.7736389684813754;28;1.1174785100286533;18.181818181818183;0.1719197707736389;1.6332378223495705;1047.0;0;0;1;0;0.2578796561604584;0.0;0;0;0;1;0.6017191977077364;0.2578796561604584;0.3438395415472779;0.6876790830945559;0.0859598853868194;0.0
214719;220929;Carlos Beltrán;2020_2021;0.0689655172413793;5.448275862068965;5.379310344827586;82.67716535433071;2.827586206896552;0.0;0.0689655172413793;2.0689655172413794;0;0.4827586206896552;29;1.5862068965517242;7.6923076923076925;0.0689655172413793;0.1379310344827586;1305.0;1;0;0;0;0.0;0.0;0;1;1;1;0.6896551724137931;0.1379310344827586;0.6206896551724138;1.862068965517241;0.3448275862068966;1.0
212434;830663;Alejandro Hohberg;2020_2021;1.6611452910553717;12.437292948414576;2.0018930430667297;77.43142144638404;0.5537150970184571;0.2981542830099384;0.7240889730241363;0.2555608140085187;1;0.383341221012778;28;1.2352106010411736;15.476190476190476;0.5537150970184571;1.8741126360624705;2113.0;0;0;1;0;0.6389020350212967;85.71428571428571;1;0;1;1;1.4907714150496925;1.362991008045433;0.8518693800283956;2.0870799810695693;0.1277804070042593;0.0
208714;832001;Arley Rodríguez;2020_2021;0.2869287991498406;7.029755579171095;0.5738575982996812;76.0;1.5781083953241233;0.0478214665249734;0.5260361317747078;1.339001062699256;1;0.6695005313496281;27;1.434643995749203;11.428571428571429;0.1912858660998937;1.1477151965993624;1882.0;0;1;0;0;0.3825717321997874;0.0;1;0;0;1;0.6695005313496281;0.4782146652497343;0.6695005313496281;3.251859723698193;0.1434643995749203;0.0
207246;249403;Martín Pérez Guedes;2020_2021;0.7730061349693251;12.478527607361965;3.754601226993865;83.5030549898167;0.9938650306748468;0.2208588957055214;0.5521472392638037;0.4417177914110429;0;0.3312883435582822;28;1.1042944785276074;12.5;0.3312883435582822;1.325153374233129;815.0;1;0;0;0;0.1104294478527607;100.0;0;1;0;1;1.2147239263803682;0.8834355828220859;1.987730061349693;1.8773006134969328;0.4417177914110429;0.0
